"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 18, 2022","4.662","4.708","4.714","4.629","5.97M","-0.97%"
"Dec 17, 2022","4.708","4.652","4.717","4.586","9.79M","1.19%"
"Dec 16, 2022","4.652","5.228","5.249","4.534","15.37M","-11.01%"
"Dec 15, 2022","5.228","5.215","5.250","5.123","8.78M","0.21%"
"Dec 14, 2022","5.217","5.280","5.355","5.177","12.18M","-1.29%"
"Dec 13, 2022","5.285","5.170","5.340","5.000","62.26M","2.22%"
"Dec 12, 2022","5.170","5.160","5.190","5.010","9.11M","0.19%"
"Dec 11, 2022","5.160","5.270","5.319","5.140","7.31M","-2.16%"
"Dec 10, 2022","5.274","5.299","5.320","5.260","21.02M","-0.46%"
"Dec 09, 2022","5.299","5.420","5.440","5.268","6.31M","-2.24%"
"Dec 08, 2022","5.420","5.290","5.460","5.250","8.35M","2.46%"
"Dec 07, 2022","5.290","5.509","5.520","5.240","11.51M","-3.98%"
"Dec 06, 2022","5.509","5.480","5.510","5.430","5.74M","0.53%"
"Dec 05, 2022","5.480","5.600","5.730","5.450","7.63M","-2.14%"
"Dec 04, 2022","5.600","5.490","5.610","5.490","5.73M","2.00%"
"Dec 03, 2022","5.490","5.620","5.710","5.480","9.11M","-2.31%"
"Dec 02, 2022","5.620","5.400","5.690","5.370","13.59M","4.08%"
"Dec 01, 2022","5.400","5.470","5.480","5.320","8.19M","-1.28%"
"Nov 30, 2022","5.470","5.310","5.500","5.310","9.73M","3.03%"
"Nov 29, 2022","5.309","5.130","5.350","5.100","4.31M","3.49%"
"Nov 28, 2022","5.130","5.300","5.320","5.070","10.51M","-3.21%"
"Nov 27, 2022","5.300","5.300","5.440","5.279","4.67M","0.00%"
"Nov 26, 2022","5.300","5.270","5.450","5.240","5.94M","0.57%"
"Nov 25, 2022","5.270","5.380","5.390","5.250","5.68M","-2.05%"
"Nov 24, 2022","5.380","5.449","5.520","5.330","7.63M","-1.27%"
"Nov 23, 2022","5.449","5.280","5.490","5.250","4.54M","3.21%"
"Nov 22, 2022","5.280","5.180","5.320","5.000","12.05M","1.92%"
"Nov 21, 2022","5.180","5.299","5.299","5.079","13.67M","-2.22%"
"Nov 20, 2022","5.298","5.608","5.660","5.250","4.36M","-5.37%"
"Nov 19, 2022","5.598","5.580","5.649","5.550","2.06M","-0.37%"
"Nov 18, 2022","5.620","5.710","5.760","5.609","6.84M","-1.41%"
"Nov 17, 2022","5.700","5.680","5.730","5.580","5.91M","0.35%"
"Nov 16, 2022","5.680","5.920","6.000","5.618","7.19M","-4.04%"
"Nov 15, 2022","5.919","5.860","6.050","5.800","3.64M","1.01%"
"Nov 14, 2022","5.860","5.749","5.890","5.450","12.01M","1.92%"
"Nov 13, 2022","5.749","5.770","5.960","5.630","10.48M","-0.35%"
"Nov 12, 2022","5.770","5.756","5.880","5.570","7.48M","0.25%"
