"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 18, 2022","0.814","0.816","0.826","0.804","48.71M","-0.20%"
"Dec 17, 2022","0.816","0.795","0.819","0.782","70.93M","2.57%"
"Dec 16, 2022","0.795","0.878","0.891","0.784","112.82M","-9.42%"
"Dec 15, 2022","0.878","0.902","0.906","0.873","58.84M","-2.72%"
"Dec 14, 2022","0.902","0.924","0.938","0.898","82.76M","-2.35%"
"Dec 13, 2022","0.924","0.910","0.941","0.880","114.42M","1.51%"
"Dec 12, 2022","0.910","0.892","0.913","0.871","61.08M","2.03%"
"Dec 11, 2022","0.892","0.908","0.915","0.889","30.30M","-1.69%"
"Dec 10, 2022","0.908","0.910","0.916","0.901","32.90M","-0.21%"
"Dec 09, 2022","0.910","0.928","0.934","0.908","53.64M","-1.96%"
"Dec 08, 2022","0.928","0.897","0.930","0.887","65.63M","3.43%"
"Dec 07, 2022","0.897","0.918","0.919","0.873","83.50M","-2.25%"
"Dec 06, 2022","0.918","0.912","0.921","0.899","59.28M","0.67%"
"Dec 05, 2022","0.912","0.921","0.945","0.901","80.47M","-1.08%"
"Dec 04, 2022","0.921","0.903","0.923","0.901","39.11M","2.10%"
"Dec 03, 2022","0.903","0.949","0.950","0.900","54.16M","-4.85%"
"Dec 02, 2022","0.949","0.909","0.949","0.900","86.50M","4.40%"
"Dec 01, 2022","0.909","0.934","0.942","0.906","109.64M","-2.70%"
"Nov 30, 2022","0.934","0.838","0.941","0.838","119.16M","11.39%"
"Nov 29, 2022","0.838","0.822","0.847","0.814","57.13M","1.92%"
"Nov 28, 2022","0.822","0.844","0.849","0.805","80.82M","-2.50%"
"Nov 27, 2022","0.844","0.846","0.865","0.841","49.51M","-0.33%"
"Nov 26, 2022","0.846","0.843","0.871","0.839","60.11M","0.37%"
"Nov 25, 2022","0.843","0.849","0.849","0.821","63.30M","-0.66%"
"Nov 24, 2022","0.849","0.862","0.889","0.843","99.13M","-1.62%"
"Nov 23, 2022","0.863","0.852","0.872","0.838","127.73M","1.28%"
"Nov 22, 2022","0.852","0.796","0.866","0.780","196.36M","6.96%"
"Nov 21, 2022","0.796","0.807","0.820","0.768","182.90M","-1.35%"
"Nov 20, 2022","0.807","0.876","0.881","0.800","116.66M","-7.80%"
"Nov 19, 2022","0.876","0.865","0.883","0.862","60.13M","-0.08%"
"Nov 18, 2022","0.876","0.883","0.899","0.869","80.72M","-0.50%"
"Nov 17, 2022","0.881","0.892","0.912","0.864","121.78M","-1.10%"
"Nov 16, 2022","0.891","0.941","0.956","0.881","119.12M","-5.41%"
"Nov 15, 2022","0.942","0.917","0.972","0.911","161.28M","2.70%"
"Nov 14, 2022","0.917","0.890","0.961","0.837","255.40M","3.08%"
"Nov 13, 2022","0.889","0.939","0.967","0.867","146.29M","-5.28%"
"Nov 12, 2022","0.939","1.063","1.065","0.927","191.63M","-11.70%"
"Nov 11, 2022","1.063","1.125","1.156","0.970","278.55M","-5.48%"
"Nov 10, 2022","1.125","0.815","1.147","0.803","465.76M","38.04%"
"Nov 09, 2022","0.815","1.045","1.070","0.767","408.30M","-21.99%"
"Nov 08, 2022","1.045","1.258","1.271","0.903","456.04M","-16.94%"
"Nov 07, 2022","1.258","1.137","1.290","1.131","265.03M","10.66%"
"Nov 06, 2022","1.137","1.185","1.214","1.134","128.39M","-4.11%"
"Nov 05, 2022","1.186","1.168","1.280","1.162","212.61M","1.52%"
"Nov 04, 2022","1.168","0.951","1.193","0.951","328.12M","22.73%"
"Nov 03, 2022","0.951","0.874","0.982","0.869","197.01M","8.86%"
"Nov 02, 2022","0.874","0.874","0.891","0.837","128.11M","0.00%"
"Nov 01, 2022","0.874","0.903","0.909","0.873","59.87M","-3.21%"
"Oct 31, 2022","0.903","0.908","0.929","0.894","74.32M","-0.56%"
